N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
1,쌍방울,886,14,-1.56%,"66,721,221","60,942",875,880,"2,327",-12.14,-8.37
2,KODEX 200선물인버스2X,"2,585",20,+0.78%,"63,772,239","164,024","2,580","2,585","21,003",N/A,N/A
3,남선알미늄,"3,595",230,+6.84%,"58,453,174","215,588","3,710","3,715","3,961",9.54,19.60
4,KEC,"3,390",95,+2.88%,"43,358,049","151,683","3,435","3,440","4,907",42.38,4.41
5,삼성 인버스 2X WTI원유 선물 ETN,160,10,+6.67%,"25,348,833","3,931",155,160,"1,435",N/A,N/A
6,에이프로젠 MED,"1,665",50,+3.10%,"24,801,239","44,440","1,670","1,675","3,359",-17.90,-5.50
7,금호에이치티,"1,995",35,+1.79%,"24,660,127","48,882","1,995","2,000","3,922",-15.71,-6.25
8,대한전선,"1,760",65,-3.56%,"23,989,849","42,694","1,755","1,760","21,903",58.67,7.78
9,한신기계,"12,200",900,+7.96%,"20,975,951","255,843","12,400","12,450","3,958",96.83,4.86
10,KG동부제철,"16,700",350,+2.14%,"20,785,935","353,021","16,550","16,600","16,701",8.75,17.99
11,에이프로젠제약,881,49,+5.89%,"18,093,341","17,038",883,884,"3,511",44.05,1.60
12,아남전자,"2,540",225,+9.72%,"15,635,321","38,823","2,515","2,520","1,959",14.77,19.31
13,KODEX 코스닥150선물인버스,"4,485",5,-0.11%,"14,890,193","66,753","4,485","4,490","4,001",N/A,N/A
14,TYM,"2,490",95,-3.68%,"14,554,961","36,917","2,485","2,490","3,784",13.17,14.28
15,일진홀딩스,"6,460",140,-2.12%,"12,695,161","85,757","6,430","6,440","3,188",15.87,5.68
16,한국전자홀딩스,"1,915",55,+2.96%,"10,040,566","20,576","1,915","1,920",896,3.85,20.34
17,KODEX 인버스,"4,405",20,+0.46%,"9,878,515","43,378","4,400","4,405","9,030",N/A,N/A
